BETT,TimesNet,GPT4TS,TS2Vec,T-Loss,TNC,TS-TCC,TST,CNN,Encoder,FCN,MCDNN,MLP,ResNet,t-LeNet,TWIESN,DTW
0.6076923076923076,0.1307692308,0.2,0.469,0.546,0.362,0.254,0.138,0.5184615384615384,0.48,0.6307692307692309,0.5,0.5446153846153846,0.6676923076923077,0.0384615384615384,0.5753846153846154,0.608
0.8210496929089894,0.6878838638,0.7487437186,0.795,0.785,0.781,0.733,0.569,0.7211055276381909,0.7713009491903964,0.7537688442211056,0.7257398101619208,0.767895030709101,0.7812395309882747,0.1269123394751535,0.6078168620882188,0.728
0.8164556962025317,0.3101265823,0.2848101266,0.873,0.899,0.316,0.43,0.38,0.7784810126582278,0.7962025316455696,0.781012658227848,0.720253164556962,0.7012658227848101,0.7772151898734178,0.1835443037974684,0.8430379746835444,0.671
0.9415555555555556,0.5837777778,0.5837777778,0.935,0.933,0.937,0.941,0.928,0.9279555555555555,0.9414666666666666,0.9400000000000001,0.9331111111111111,0.9297333333333333,0.9350666666666667,0.5837777777777777,0.9216444444444445,0.924
0.7851239669421488,0.3966942149,0.2314049587,0.851,0.76,0.723,0.723,0.545,0.4818181818181818,0.5537190082644627,0.9785123966942149,0.41900826446280987,0.5595041322314049,0.9801652892561983,0.1818181818181818,0.628099173553719,0.591
0.7618421052631579,0.5710526316,0.4960526316,0.789,0.75,0.754,0.747,0.632,0.6713157894736842,0.6644736842105263,0.778421052631579,0.6273684210526316,0.7186842105263158,0.7697368421052632,0.5144736842105263,0.6492105263157895,0.737
0.580952380952381,0.6857142857,0.780952381,0.714,0.724,0.752,0.743,0.524,0.72,0.681904761904762,0.7066666666666667,0.718095238095238,0.699047619047619,0.758095238095238,0.5142857142857142,0.7676190476190476,0.467
0.6115107913669064,0.6043165468,0.618705036,0.698,0.676,0.669,0.676,0.568,0.6705035971223021,0.6935251798561151,0.6949640287769784,0.6848920863309352,0.6100719424460431,0.6633093525179856,0.28489208633093527,0.5913669064748202,0.59
0.8556701030927835,0.8694158076,0.8006872852,0.887,0.859,0.866,0.873,0.77,0.806872852233677,0.768384879725086,0.9065292096219931,0.8659793814432989,0.7298969072164949,0.9195876288659793,0.6838487972508591,0.8171821305841924,0.784
0.9824561403508771,0.9263157895,0.8294736842,0.986,0.956,0.991,0.989,0.922,0.9866666666666667,0.7596491228070176,0.996842105263158,0.9734736842105262,0.9059649122807019,0.998456140350877,0.5,0.9461052631578948,0.899
0.8472344161545216,0.6330114135,0.657594381,0.986,0.999,0.993,0.976,0.871,0.8765583845478491,0.7841966637401229,0.9994732221246707,0.8057945566286216,0.7529411764705882,1.0,0.5002633889376646,0.9490781387181737,0.905
